rsyslogd    1075                           syslog    6u     unix 0xffff9c57896a6000       0t0      28075 /var/spool/postfix/dev/log type=DGRAM (UNCONNECTED)
pickup    545122                          postfix  mem       REG                8,2    338664    7998157 /usr/lib/x86_64-linux-gnu/libgssapi_krb5.so.2.2
pickup    545122                          postfix  mem       REG                8,2    141872    7995677 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
pickup    545122                          postfix  mem       REG                8,2   2083144    8000178 /usr/lib/x86_64-linux-gnu/libicuuc.so.72.1
pickup    545122                          postfix  mem       REG                8,2   1789520    7998727 /usr/lib/x86_64-linux-gnu/libdb-5.3.so
pickup    545122                          postfix  mem       REG                8,2   2072888    7995438 /usr/lib/x86_64-linux-gnu/libc.so.6
pickup    545122                          postfix  mem       REG                8,2     51984    7996511 /usr/lib/x86_64-linux-gnu/libkrb5support.so.0.1
pickup    545122                          postfix  mem       REG                8,2     18504    7998857 /usr/lib/x86_64-linux-gnu/libcom_err.so.2.1
pickup    545122                          postfix  mem       REG                8,2    948816    7995466 /usr/lib/x86_64-linux-gnu/libm.so.6
pickup    545122                          postfix  mem       REG                8,2    178816    7997838 /usr/lib/x86_64-linux-gnu/libtirpc.so.3.0.0
pickup    545122                          postfix  mem       REG                8,2     93280    7997842 /usr/lib/x86_64-linux-gnu/libnsl.so.2.0.1
pickup    545122                          postfix  mem       REG                8,2    303320    9192545 /usr/lib/postfix/libpostfix-util.so
pickup    545122                          postfix  mem       REG                8,2    318952    9192542 /usr/lib/postfix/libpostfix-global.so
pickup    545122                          postfix  mem       REG                8,2     47272    9192543 /usr/lib/postfix/libpostfix-master.so
pickup    545122                          postfix  mem       REG                8,2    224376    7995408 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
pickup    545122                          postfix    0u      CHR                1,3       0t0          5 /dev/null
pickup    545122                          postfix    1u      CHR                1,3       0t0          5 /dev/null
pickup    545122                          postfix    2u      CHR                1,3       0t0          5 /dev/null
pickup    545122                          postfix    3r     FIFO               0,13       0t0      42357 pipe
pickup    545122                          postfix    4w     FIFO               0,13       0t0      42357 pipe
pickup    545122                          postfix    5u     unix 0xffff9c57ff269000       0t0      42248 type=STREAM (CONNECTED)
pickup    545122                          postfix    6u     unix 0xffff9c57ff268000       0t0      42246 public/pickup type=STREAM (LISTEN)
pickup    545122                          postfix    7u     unix 0xffff9c568ca5c000       0t0    3567328 type=DGRAM (CONNECTED)
pickup    545122                          postfix    8u  a_inode               0,14         0       2063 [eventpoll:5,6,9]
pickup    545122                          postfix    9r     FIFO               0,13       0t0    3567342 pipe
pickup    545122                          postfix   10w     FIFO               0,13       0t0    3567342 pipe
